# Base attributes derived from data provider resources (BAFU, Swisstopo, etc.).
gauge_id;country;gauging_st;water_body;type;id6;id12;shape_leng;shape_area;super_catc;sub_catchm;h1;h2;ext_ch;ext_de;ext_at;ext_li;ext_it;ext_fr;ext_r1981;ext_tabs;ext_srel;ext_sim;ext_r1992
2135;CH;Bern, Schönau;Aare;stream;AarBer;600710198000;377444.069664;2.94116693004e9;1;1;235;262;100.0;0.0;0.0;0.0;0.0;0.0;99.62;99.62;99.62;99.62;99.62
2137;CH;Gelfingen;Baldeggersee;lake;BaSGel;662710229100;43480.2812345;7.31973175887e7;0;1;315;316;100.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0
2139;CH;St. Margrethen;Rheintaler Binnenkanal;stream;RhBStM;767194257810;89670.6992352;1.74948989071e8;0;1;144;145;100.0;0.0;0.0;0.0;0.0;0.0;98.31;98.31;98.31;98.31;98.31
2141;CH;Tiefencastel;Albula;stream;AlbTie;763420170145;124389.32568;5.29045429754e8;1;1;66;71;100.0;0.0;0.0;0.0;0.0;0.0;99.42;99.42;99.42;99.42;99.42
2143;CH;Rekingen;Rhein;stream;RheRek;667060269230;1.0538631653e6;1.47190652873e10;1;1;8;187;57.43;24.94;16.19;1.09;0.35;0.0;100.0;64.62;64.23;99.4;100.0
2150;CH;Felsenbach;Landquart;stream;LanFel;765364204910;153332.911165;6.13747516224e8;0;1;56;57;99.97;0.0;0.03;0.0;0.0;0.0;99.55;99.55;99.55;99.55;99.55
2151;CH;Oberwil;Simme;stream;SimObe;600060167090;133728.126445;3.43700375525e8;1;1;256;257;100.0;0.0;0.0;0.0;0.0;0.0;98.34;98.34;98.34;98.34;98.34
2152;CH;Luzern, Geissmattbrücke;Reuss;stream;ReuLuz;665330211800;320654.258892;2.25396562751e9;1;1;333;360;100.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0
2154;CH;Grandson;Lac de Neuchâtel;lake;LdeGra;539220184155;456233.178907;2.67896908777e9;1;1;229;230;95.71;0.0;0.0;0.0;0.0;4.29;99.82;99.82;99.82;99.66;99.82
2155;CH;Wiler, Limpachmündung;Emme;stream;EmmWiT;608220223240;234306.288648;9.24074845702e8;1;1;285;296;100.0;0.0;0.0;0.0;0.0;0.0;99.45;99.45;99.45;99.45;99.45
2157;CH;Gerlafingen;Strackbach;stream;StrGer;609270223300;19041.2226882;1.26765650472e7;0;1;297;298;100.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0
2159;CH;Belp, Mülimatt;Gürbe;stream;GueBel;604810192680;66495.5194467;1.16145419037e8;0;1;236;237;100.0;0.0;0.0;0.0;0.0;0.0;99.88;99.88;99.88;99.88;99.88
2160;CH;Broc, Château d'en bas;Sarine;stream;SarBro;573520161345;144069.845678;6.36248284935e8;0;1;274;275;100.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0
2161;CH;Blatten bei Naters;Massa;stream;MasBla;643700137290;68652.7184041;1.95518282581e8;0;1;588;589;100.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0
2167;CH;Ponte Tresa, Rocchetta;Tresa;stream;TrePon;709580092145;152031.793016;6.0909510452e8;1;1;477;490;59.66;0.0;0.0;0.0;40.34;0.0;82.91;80.61;78.15;84.39;84.39
2168;CH;Sempach;Sempachersee;lake;SeSSem;656940220640;44004.8794747;7.53850609007e7;1;1;305;306;100.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0
2170;CH;Genève, Bout du Monde;Arve;stream;ArvGen;501220115120;309609.91604;1.9757781471e9;1;1;205;208;2.26;0.0;0.0;0.0;0.03;97.71;11.69;11.69;10.22;95.66;99.86
2174;CH;Chancy, Aux Ripes;Rhône;stream;RhoCha;486600112340;792412.437072;1.03127090625e10;1;1;557;642;67.37;0.0;0.0;0.0;0.01;32.62;74.83;74.83;74.44;99.09;100.0
2176;CH;Zürich, Sihlhölzli;Sihl;stream;SihZue;682145246890;141995.849963;3.42573730074e8;1;1;369;378;100.0;0.0;0.0;0.0;0.0;0.0;99.54;99.54;99.54;99.54;99.54
2179;CH;Thörishaus, Sensematt;Sense;stream;SenTho;593350193020;110000.528631;3.51174749549e8;1;1;265;270;100.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0
2181;CH;Halden;Thur;stream;ThuHal;733560263180;189661.985462;1.0850084274e9;1;1;504;505;100.0;0.0;0.0;0.0;0.0;0.0;99.82;99.82;99.82;99.82;99.82
2185;CH;Chur;Plessur;stream;PleChT;757975191925;81414.3247094;2.64358645956e8;0;1;82;83;100.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0
2187;CH;Salez;Werdenberger Binnenkanal;stream;WeBSal;756795234005;71451.1185299;1.82613922047e8;0;1;60;61;100.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0
2199;CH;Basel;Wiese;stream;WieBas;611800269700;130671.585615;4.54378950367e8;1;1;413;418;3.03;96.97;0.0;0.0;0.0;0.0;100.0;8.58;7.7;100.0;100.0
